OBJECTID,ZIPCODE,Percent_,LowerCL,UpperCL,Population,Shape__Area,Shape__Length
40,90044,4.6,3.6,5.5,69300,139674730.50293,82316.2279162757
41,90045,4.7,3.6,5.8,29000,305820019.938477,98726.5984903535
42,90046,5.8,4.4,7.2,43200,157746549.730469,86575.3784053739
43,90047,5.8,4.1,7.5,39300,134213046.453125,77331.5933646227
44,90048,6.3,4.6,8.1,19900,51266833.6318359,42281.1638397508
45,90049,7,5.4,8.7,29800,426414821.358398,132308.722633224
46,90056,6.5,4.3,8.8,7500,43781555.6914063,37127.5538425284
47,90057,4.1,2.8,5.4,32300,25909144.4472656,26195.1163094174
48,90058,3.6,2.5,4.7,2200,131647588.349609,92632.0106386233
49,90059,4.1,2.9,5.3,26000,93173261.5097656,66238.8085532025
50,90061,4.7,3.5,5.9,19000,76611436.2314453,52266.3488602104
51,90062,5.1,3.8,6.3,25000,52544723.7705078,36684.7935879974
52,90063,4.1,3.2,5,39000,93436930.6894531,54052.1391582623
53,90064,5.5,4.4,6.5,23800,110414356.612305,65690.7877777499
54,90065,5.2,4.2,6.3,36400,145389928.853516,83157.7027130342
55,90066,4.5,3.5,5.5,45900,139512530.853516,69889.1613185751
56,90067,11.8,9,14.6,2500,10353516.0048828,15765.2814966667
57,90068,6.4,4.6,8.2,21400,205592865.569336,86280.1696662495
58,90069,6.4,4.6,8.2,19800,60101434.3837891,45167.3259067018
59,90071,,,,0,4040733.45898438,8750.62082251514
60,90077,8.3,6.1,10.5,8400,201734548.100586,90139.7123340942
61,90094,3.7,2.4,4.9,6500,33728277.9541016,49434.5997592297
62,90210,8,6.5,9.4,18400,302058173.730469,107987.132101154
63,90211,6.1,4.9,7.4,6700,19584945.1220703,24391.043821136
64,90212,5.7,4.5,6.9,10400,25163960.3144531,25920.4868157283
65,90230,4.9,4,5.9,24900,120572532.961914,66927.6293517493
66,90232,5,3.9,6,14900,62235268.2353516,57013.5975064001
67,90245,5,3.9,6,13800,152778227.499023,57324.7825877465
68,90247,5.1,4.1,6.1,35500,103625460.833984,61356.4989797149
69,90248,6.4,5,7.8,8500,130974604.589844,92105.6668219036
70,90272,8.2,5.7,10.7,19400,677611377.24707,140439.520550553
71,90290,6.5,4.6,8.4,5200,521684317.946289,134585.667548709
72,90291,4.5,3.5,5.5,24600,65626605.8964844,38370.5447647127
73,90292,6.3,4.7,7.8,20900,68588838.3291016,37777.7118246671
74,90293,5.4,4.1,6.8,12400,52241405.1171875,56892.4062324885
75,90302,4.4,3.3,5.5,23100,51768022.2470703,38898.6629198022
76,90402,7.9,6,9.8,10900,54260993.3183594,49898.0491858042
77,90501,5.1,4.1,6.2,33500,157273051.574219,71750.07183597
78,90502,5.5,4.3,6.6,15200,63151351.8554688,42751.3702792476
79,90710,5.3,4.4,6.3,22200,74043898.4931641,47358.7562710179
80,90717,5.6,4.6,6.7,16300,54856764.5810547,46940.8182100851
81,90731,5.1,4.3,6,43800,356036412.860352,134529.162400659
82,90732,6.7,5.5,7.8,20100,88612944.2402344,86523.2397977696
83,90744,4,3.2,4.8,38100,243298098.939453,92694.9103074082
84,90810,5.1,4.1,6,31200,192310092.50293,81539.3056118472
85,91040,6.5,4.8,8.1,17800,342948303.863281,133126.57490043
86,91042,6.3,4.6,8,22700,1409499923.95996,227474.642742511
87,91214,6.3,4.2,8.3,25800,243895353.770508,85515.1746108706
88,91303,4.3,3.4,5.2,22800,59642299.2333984,39830.9250839544
89,91304,5.4,4.4,6.5,38300,264974246.654297,92738.925900505
90,91306,5.3,4.1,6.4,34400,115739867.226563,54949.3787167405
91,91307,6.6,5.2,8,18700,124165104.615234,54676.3352492666
92,91311,6.3,4.9,7.7,32300,633719439.387695,152159.245503549
93,91316,6.5,5,8,21900,158922399.015625,63843.0825034134
94,91324,5.3,4.1,6.5,24700,121478903.158203,63449.6116551003
95,91325,5.4,4.1,6.6,24800,133846101.102539,98047.2079151229
96,91326,6.6,5.1,8.1,28000,311973792.834961,106374.1891601
97,91331,4.1,3.2,5.1,74800,237080042.333984,87577.3714190934
98,91335,5.2,4.1,6.3,59400,182517575.148438,59869.8201002035
99,91340,4.2,3.2,5.1,27900,97073111.4130859,56015.087428125
100,91342,4.8,3.8,5.7,65100,1823247299.44238,298324.140275842
101,91343,4.9,3.9,5.9,46523,159193603.675781,64622.4155627277
102,91344,6.2,5,7.5,43000,398434105.59375,97884.893811843
103,91345,5.3,4.1,6.5,14400,90791225.6884766,43365.1004893893
104,91352,4.9,3.9,5.8,38900,415419094.125977,162985.692998963
105,91356,6.6,5.3,8,24400,208898448.080078,72629.8239401925
106,91364,6.9,5.3,8.4,20900,200193549.40625,75118.9547978848
107,91367,6.4,5,7.8,33000,216470653.544922,87120.851849398
108,91401,5.1,3.9,6.2,33200,99335496.7060547,51563.8213088195
109,91402,4.3,3.4,5.2,51600,104046170.34082,57693.8173435994
110,91403,5.6,4.4,6.8,17200,96843680.0351563,68597.9500645767
111,91405,4.7,3.7,5.7,36700,92209259.8613281,49011.2205834685
112,91406,4.7,3.7,5.7,44300,189361102.316406,68134.2563826093
113,91411,4.8,3.7,5.8,20600,53713776.2792969,43997.8448606004
114,91423,5.6,4.3,6.9,25400,113253257.547852,81059.1653457611
115,91436,8.2,6.5,10,15300,177689043.681641,77816.5367033394
116,91504,5.7,4.5,6.8,20700,131446473.575195,57507.8089187405
117,91505,5.2,4,6.4,25300,143159303.571289,93419.7090650599
118,91601,3.9,2.9,5,31900,74137860.2294922,50023.4068054081
119,91602,5,3.8,6.2,16500,58804795.6748047,42988.498789574
120,91604,5.9,4.5,7.3,24800,139593615.579102,76710.2863384623
121,91605,4.7,3.8,5.7,41800,147374306.048828,70606.0532097272
122,91606,5,4,6.1,34400,91562089.0341797,56311.7026200219
123,91607,5.1,3.9,6.4,24700,69607233.5136719,43360.655086559
124,91608,,,,0,16240540.1796875,17061.4089823393
